"Region","UA"
"East Midlands","EM01"
"East Midlands","EM02"
"East Midlands","EM03"
"East Midlands","EM04"
"East Midlands","EM05"
"East Midlands","EM06"
"East Midlands","EM07"
"East Midlands","EM08"
"East Midlands","EM09"
"East Midlands","EM10"
"East Midlands","EM11"
"East Midlands","EM12"
"East Midlands","EM13"
"East Midlands","EM14"
"East Midlands","EM15"
"East Midlands","EM16"
"East Midlands","EM17"
"East Midlands","EM18"
"East Midlands","EM19"
"East Midlands","EM20"
"East Midlands","EM21"
"East Midlands","EM22"
"East Midlands","EM23"
"East Midlands","EM24"
"East Midlands","EM25"
"East Midlands","EM26"
"East Midlands","EM27"
"East Midlands","EM28"
"East Midlands","EM29"
"East Midlands","EM30"
"East Midlands","EM31"
"East Midlands","EM32"
"East Midlands","EM33"
"East Midlands","EM34"
"East Midlands","EM35"
"East Midlands","EM36"
"East Midlands","EM37"
"East Midlands","EM38"
"East Midlands","EM39"
"East Midlands","EM40"
"East of England","EE01"
"East of England","EE02"
"East of England","EE03"
"East of England","EE04"
"East of England","EE05"
"East of England","EE06"
"East of England","EE07"
"East of England","EE08"
"East of England","EE09"
"East of England","EE10"
"East of England","EE11"
"East of England","EE12"
"East of England","EE13"
"East of England","EE14"
"East of England","EE15"
"East of England","EE16"
"East of England","EE17"
"East of England","EE18"
"East of England","EE19"
"East of England","EE20"
"East of England","EE21"
"East of England","EE22"
"East of England","EE23"
"East of England","EE24"
"East of England","EE25"
"East of England","EE26"
"East of England","EE27"
"East of England","EE28"
"East of England","EE29"
"East of England","EE30"
"East of England","EE31"
"East of England","EE32"
"East of England","EE33"
"East of England","EE34"
"East of England","EE35"
"East of England","EE36"
"East of England","EE37"
"East of England","EE38"
"East of England","EE39"
"East of England","EE40"
"East of England","EE41"
"East of England","EE42"
"East of England","EE43"
"East of England","EE44"
"East of England","EE45"
"East of England","EE46"
"East of England","EE47"
"London","L01"
"London","L02"
"London","L03"
"London","L04"
"London","L05"
"London","L06"
"London","L07"
"London","L08"
"London","L09"
"London","L10"
"London","L11"
"London","L12"
"London","L13"
"London","L14"
"London","L15"
"London","L16"
"London","L17"
"London","L18"
"London","L19"
"London","L20"
"London","L21"
"London","L22"
"London","L23"
"London","L24"
"London","L25"
"London","L26"
"London","L27"
"London","L28"
"London","L29"
"London","L30"
"London","L31"
"London","L32"
"London","L33"
"North East","NE01"
"North East","NE02"
"North East","NE03"
"North East","NE04"
"North East","NE05"
"North East","NE06"
"North East","NE07"
"North East","NE08"
"North East","NE09"
"North East","NE10"
"North East","NE11"
"North East","NE12"
"North West","NW01"
"North West","NW02"
"North West","NW03"
"North West","NW04"
"North West","NW05"
"North West","NW06"
"North West","NW07"
"North West","NW08"
"North West","NW09"
"North West","NW10"
"North West","NW11"
"North West","NW12"
"North West","NW13"
"North West","NW14"
"North West","NW15"
"North West","NW16"
"North West","NW17"
"North West","NW18"
"North West","NW19"
"North West","NW20"
"North West","NW21"
"North West","NW22"
"North West","NW23"
"North West","NW24"
"North West","NW25"
"North West","NW26"
"North West","NW27"
"North West","NW28"
"North West","NW29"
"North West","NW30"
"North West","NW31"
"North West","NW32"
"North West","NW33"
"North West","NW34"
"North West","NW35"
"North West","NW36"
"North West","NW37"
"North West","NW38"
"North West","NW39"
"South East","SE01"
"South East","SE02"
"South East","SE03"
"South East","SE04"
"South East","SE05"
"South East","SE06"
"South East","SE07"
"South East","SE08"
"South East","SE09"
"South East","SE10"
"South East","SE11"
"South East","SE12"
"South East","SE13"
"South East","SE14"
"South East","SE15"
"South East","SE16"
"South East","SE17"
"South East","SE18"
"South East","SE19"
"South East","SE20"
"South East","SE21"
"South East","SE22"
"South East","SE23"
"South East","SE24"
"South East","SE25"
"South East","SE26"
"South East","SE27"
"South East","SE28"
"South East","SE29"
"South East","SE30"
"South East","SE31"
"South East","SE32"
"South East","SE33"
"South East","SE34"
"South East","SE35"
"South East","SE36"
"South East","SE37"
"South East","SE38"
"South East","SE39"
"South East","SE40"
"South East","SE41"
"South East","SE42"
"South East","SE43"
"South East","SE44"
"South East","SE45"
"South East","SE46"
"South East","SE47"
"South East","SE48"
"South East","SE49"
"South East","SE50"
"South East","SE51"
"South East","SE52"
"South East","SE53"
"South East","SE54"
"South East","SE55"
"South East","SE56"
"South East","SE57"
"South East","SE58"
"South East","SE59"
"South East","SE60"
"South East","SE61"
"South East","SE62"
"South East","SE63"
"South East","SE64"
"South East","SE65"
"South East","SE66"
"South East","SE67"
"South West","SW01"
"South West","SW02"
"South West","SW03"
"South West","SW04"
"South West","SW05"
"South West","SW06"
"South West","SW07"
"South West","SW08"
"South West","SW09"
"South West","SW10"
"South West","SW11"
"South West","SW12"
"South West","SW13"
"South West","SW14"
"South West","SW15"
"South West","SW16"
"South West","SW17"
"South West","SW18"
"South West","SW19"
"South West","SW20"
"South West","SW21"
"South West","SW22"
"South West","SW23"
"South West","SW24"
"South West","SW25"
"South West","SW26"
"South West","SW27"
"South West","SW28"
"South West","SW29"
"South West","SW30"
"South West","SW31"
"South West","SW32"
"South West","SW33"
"South West","SW34"
"South West","SW35"
"South West","SW36"
"South West","SW37"
