ID,Year,UA,obesity,popCount,10301,"Violent crime - violence offences per 1,000 population",22401,90356,90360,90637,92309,92310,92899,92924,93111,93350,93351
1,2014,EM01,180,1085,4.383732153,8.040406107,2055.933913,8.467609081,31.81362891,0.968204904,19.47883964,20.34154098,18.16395812,9.589767863,6.759034151,29.41099629,385.8763088
2,2015,EM01,159,1058,4.250922157,8.525703188,1953.209279,11.04789303,12.94263244,0.838410138,19.52850857,20.79008553,15.87330298,9.482253168,6.971544216,25.64838088,413.3788081
3,2016,EM01,187,1123,4.344340102,10.97562848,1762.14657,9.953050923,16.91528611,1.268470538,19.54163714,21.05725163,18.59553083,9.97308551,6.890588001,21.68238086,426.9804069
4,2011,EM02,181,825,5.512606342,7.557846335,1905.141476,11.12779863,2.567710603,0.647081313,18.76100149,22.2044277,19.55826995,8.748427523,5.949472,24.22468857,337.5557144
5,2012,EM02,172,794,5.926978594,6.854248067,1605.498505,10.31816135,20.41908775,0.475188316,18.73935461,22.97978562,20.15583216,9.068750645,5.777440042,20.36038085,345.5703484
6,2013,EM02,159,796,4.869966669,6.823937846,1915.488127,7.826050864,9.451963206,0.776925322,18.77302213,23.48633121,25.33470465,10.13319659,5.888754838,14.66561159,365.4240269
7,2015,EM02,214,826,4.858702627,7.310465324,1810.143524,11.46048905,19.39044184,0.957511722,18.69400761,23.81221114,21.88212299,9.304677256,6.678077936,18.63161161,362.3312428
8,2016,EM02,169,895,4.832164767,9.423062743,1773.475925,11.62887426,41.74651664,1.43786259,18.80301172,23.81891272,19.82385315,9.246124652,6.597121721,18.12315007,377.1965599
9,2017,EM02,215,891,4.968372841,11.55322016,1952.164962,7.587182681,26.60182713,1.49238537,18.8078631,23.81513347,21.55014398,8.647777616,7.082859012,18.428227,377.0302812
10,2011,EM03,117,614,5.510269707,10.92448938,2168.729175,12.8905152,15.12967987,0.980537832,19.46075534,19.69542055,30.01560864,8.966384541,6.121503957,18.428227,288.0046575
11,2012,EM03,142,634,5.724242624,11.21328823,2192.394685,12.96233027,15.90698818,1.16305158,19.66378619,20.29770163,14.77777226,9.205339735,6.253057806,16.39438083,280.8546728
12,2013,EM03,182,677,4.832796769,12.42464278,2317.822252,10.38841867,-1.485623177,0.760640108,20.02320657,20.42067006,13.28386673,10.35115361,6.081025849,4.49638077,306.9271752
13,2014,EM03,162,678,5.114479206,12.44723369,2117.88732,11.28290717,40.12486894,1.126454143,19.93633016,20.52501194,30.71276455,10.17600057,6.485806925,12.73345774,315.8064585
14,2015,EM03,167,758,4.801466464,14.27612578,1812.958884,13.69226876,15.10347908,1.591208959,20.18860832,20.61548609,31.31032676,9.764315193,6.890588001,15.9876116,307.8915917
15,2016,EM03,182,739,5.078629704,13.95316369,1766.52708,13.50185328,15.17890962,1.448288729,20.22027269,20.62969227,21.41735238,9.174448189,6.738795097,1.140534599,331.004333
16,2017,EM03,191,783,5.0042561,14.82253324,1757.373702,9.755895236,46.24854943,2.177395055,20.40367061,20.68350881,16.37127149,8.630716599,7.234651915,14.46222698,336.6578093
17,2011,EM04,192,974,5.484144931,8.982774042,2519.988237,13.07573767,14.97013907,0.482257076,20.1133966,18.52341822,23.64161172,8.836761192,5.514332343,16.69945776,356.3452091
18,2013,EM04,199,1044,4.771861809,10.25948533,2553.060829,9.557275863,14.46600401,0.612228152,19.71091055,19.82808912,24.83673614,10.48855033,5.190507483,14.86899621,365.7233286
19,2014,EM04,206,1049,4.777493045,13.02147935,2285.547455,10.23413876,20.70405229,1.271768616,19.59581116,20.33262191,22.04811249,10.2265779,5.150029375,15.9876116,368.1842536
20,2015,EM04,207,1054,4.50653624,13.56606575,2586.96814,11.43622347,30.93157408,1.403700342,19.45524884,20.72793154,30.41398345,8.962043572,5.403017547,17.2079193,391.1972276
21,2016,EM04,194,1075,4.472872802,18.01648925,3109.443352,11.23456289,33.10420049,1.770204441,19.40888279,21.06040879,26.52982908,8.527845732,5.382778494,15.37745775,411.7492767
22,2017,EM04,272,1190,4.561914048,20.33131954,2747.050658,8.967272489,31.63835884,2.29571498,19.47058364,21.23779972,18.66192663,7.700739732,5.868515784,14.36053467,399.9102323
23,2012,EM05,136,731,5.46858326,8.434613458,2235.332978,12.23017996,22.25707332,0.607805522,20.03623155,18.58954229,24.23917393,9.310936327,4.006522836,18.63161161,330.5054969
24,2013,EM05,142,757,4.468782769,7.33157614,2422.168598,9.706497249,10.57032652,0.707333974,20.01868748,18.9252524,26.03186057,11.1522138,4.411303912,20.25868855,339.1187343
25,2014,EM05,152,741,4.585047628,8.936695839,2076.320192,9.716168697,23.91451706,0.975437145,19.80584629,19.14846904,33.80016931,10.6937873,4.785726407,18.93668854,332.4010742
26,2016,EM05,188,879,4.72510151,9.16294451,2017.095518,11.53029642,29.97025965,1.355715453,19.5839459,19.57342652,17.59959381,9.084398323,5.109551267,18.63161161,362.0651969
27,2011,EM06,391,2097,5.392270273,18.15627552,2053.98143,11.94466137,23.15242301,1.495872738,22.24082217,13.28814457,17.96477072,10.58950309,5.868515784,16.39438083,353.6847497
28,2012,EM06,353,2046,5.574637211,16.25578728,1778.250202,11.61635792,27.0763644,1.413495161,22.38608115,13.72335155,22.14770619,10.09220977,5.81791815,14.86899621,352.1217297
29,2014,EM06,433,2220,4.537170868,21.46307913,2803.129421,9.250496944,33.54289936,2.515357256,22.61968977,14.30296388,19.25948884,10.02346094,6.485806925,14.05545774,376.9637697
30,2015,EM06,432,2233,4.505754213,26.76832773,2895.986539,12.6885942,3.310088636,2.817550104,22.71575213,14.50663597,18.76152033,9.977527432,6.688197463,12.93684235,389.5011847
31,2016,EM06,476,2291,4.530380354,28.95682641,2985.125768,10.64309583,25.27358467,3.0239011,22.82942719,14.63651804,19.12669724,10.21133403,6.890588001,14.15715005,408.6232369
32,2017,EM06,306,1575,4.643472657,30.10379472,2922.718886,8.375805429,28.95901882,3.270136208,23.08798141,14.82703574,18.46273923,9.895351881,7.750747786,17.61468853,412.2813686
33,2011,EM07,166,904,4.824520567,5.231157373,2050.867114,11.19308829,15.86878044,0.423274108,18.53040907,21.09818311,25.73307946,8.705421645,5.888754838,13.64868851,377.7951632
34,2012,EM07,137,920,5.261520173,4.137491747,1989.337084,11.7381761,26.09116969,0.191972282,18.42076689,21.83762682,18.46273923,8.449607339,5.97983058,16.90284237,392.9265262
35,2014,EM07,166,943,4.148857723,4.52691985,2174.119427,8.564790595,29.85543222,0.57072795,17.97751414,23.11148752,19.85705105,10.70650734,6.091145376,20.46207316,381.6528294
36,2015,EM07,171,922,4.036522,6.033675063,2011.136962,10.88733353,8.496829905,0.899091047,17.94336463,23.4958887,19.59146785,8.133726139,6.172101591,10.80130388,369.3482046
37,2016,EM07,166,952,4.132145385,6.342083592,2272.567676,11.23456289,31.6289279,0.985776652,17.9154949,23.7750826,17.93157282,8.563784916,6.182221118,24.83484242,390.63188
38,2017,EM07,197,981,4.370077893,6.830939257,2130.804271,8.277227585,31.71350957,0.948208702,17.92033342,23.97909592,17.86517702,7.231208423,6.86022942,16.39438083,412.1483456
39,2011,EM08,186,955,5.250653119,14.57320386,1809.694048,13.8542208,10.98975183,0.83864898,20.32942925,17.07603884,27.52576609,9.379483254,5.544690924,9.886073106,311.6827464
40,2012,EM08,151,907,5.968188008,14.57817839,1854.994473,12.45786037,9.386948492,1.052428204,20.17188736,17.50388608,24.03998653,9.054213447,5.170268429,5.818380777,307.8250803
41,2014,EM08,209,1068,5.038465122,19.66154366,2111.1026,9.189034621,35.40825366,1.779277897,20.07389398,18.23181629,17.46680221,10.12088036,5.483973763,9.784380798,327.4127128
42,2015,EM08,194,974,4.869555265,21.88959715,1925.775083,11.88822525,16.98384494,2.197402115,20.05676804,18.3467405,17.30081271,8.366927025,5.463734709,4.394688462,333.3987465
43,2016,EM08,211,1071,4.987781229,25.30586256,1892.372698,11.82602995,16.46464395,2.468414647,20.13900513,18.55741437,21.15176918,9.261570425,5.888754838,5.208226928,332.6338644
44,2017,EM08,250,1194,4.942197628,29.05825269,1721.100547,9.657317393,35.27544141,3.058332437,20.20939775,18.6341449,22.74526841,8.480196027,5.676244773,9.68268849,349.627549
45,2011,EM09,201,1037,5.286265284,12.49720848,1945.744175,13.39377979,12.74965317,0.656173999,20.10905001,17.79020208,22.4464873,9.888991857,5.119670794,19.14007315,356.6777665
46,2013,EM09,188,1036,4.382828077,8.833184693,2195.915359,10.26236086,17.08655691,0.772577906,19.89425318,18.9147769,18.36314552,10.1150251,4.633933504,21.78407317,393.2258279
47,2014,EM09,190,1139,4.485178085,10.92310852,2049.537348,9.292644784,27.92973686,1.093649888,19.74151184,19.2187247,19.15989514,9.947847319,5.038714579,21.68238086,373.9042413
48,2015,EM09,197,1091,4.323272165,11.9682126,2066.891981,12.81656526,16.66186169,1.109945105,19.77922521,19.39188175,12.98508563,9.280549545,5.352419913,30.02115014,397.2830286
49,2017,EM09,203,1105,4.774826964,12.12210015,2231.9088,9.065850332,28.99215663,1.514339707,19.57821566,19.83763942,13.88142894,9.895049023,5.645886193,30.02115014,429.7073779
50,2011,EM10,153,858,4.985640021,7.919320142,1740.496098,11.40191597,26.2186141,0.487189341,22.13084601,16.86848224,15.37533447,9.579167822,5.645886193,30.22453475,396.2521005
51,2012,EM10,139,823,5.216527157,6.043321697,1564.40379,10.86336692,10.50510031,0.460896838,22.00878602,17.72137319,16.9688337,9.219876933,5.767320516,30.73299629,388.0711878
52,2013,EM10,164,886,4.305521476,6.312953436,1649.184286,8.710602452,12.20993262,0.662223103,21.7117341,18.54099907,15.17614707,9.758762791,5.575049505,24.22468857,416.7043824
53,2014,EM10,152,943,4.408345389,8.280727393,2135.955723,9.422609271,23.64959617,0.803028338,21.54330226,19.19821754,16.7696463,9.374637521,6.070906322,21.27561163,425.7832002
54,2016,EM10,123,673,4.616331194,12.65620824,2001.351128,10.15020661,38.94691043,1.37865583,21.15002469,19.97202884,13.44985623,9.531720023,6.384611656,23.30945779,462.8300978
55,2017,EM10,149,900,4.753304796,12.89510043,2032.81247,7.685760525,20.44140923,1.597289615,21.08191332,20.29583133,14.27980375,9.324060186,6.86022942,18.73330392,480.8879661
56,2011,EM11,249,1488,5.185894333,10.59763193,1385.388482,13.23246257,15.93826525,0.512709998,19.09061351,16.46948808,24.03998653,9.706570211,6.323894495,27.78391935,384.6458463
57,2013,EM11,293,1522,4.533350089,8.855560137,1549.237865,9.58871372,8.224105116,0.758681821,18.93095912,17.26891306,23.74120542,9.990348433,6.182221118,35.91930401,403.435341
58,2014,EM11,285,1608,4.495907466,7.752797666,1598.146862,8.768035343,21.06624288,0.978685347,18.72874958,17.51629241,24.23917393,9.795206739,6.485806925,27.68222705,398.8793042
59,2015,EM11,266,1521,4.357999033,9.820704355,1776.386787,12.33191882,10.88498772,0.981472915,18.67165038,17.63219431,26.86180808,9.948453035,6.597121721,33.07191938,410.1530011
60,2017,EM11,298,1733,4.658654667,17.32778311,1714.96251,8.671538959,29.35318688,1.473310407,18.64117294,17.8142475,26.33064167,9.699099707,7.598954883,30.22453475,417.4692645
61,2011,EM12,113,1009,4.342431025,6.401197296,1584.434296,12.89531332,23.61013436,0.29703173,20.47490802,18.35695616,21.15176918,9.329006872,6.161982064,29.91945783,471.7758926
62,2013,EM12,105,1054,3.610826644,6.474617542,1656.912027,8.622091985,21.46893068,0.553933034,20.27803884,19.59928675,18.96070774,9.95703402,6.253057806,28.19068859,452.8201192
63,2014,EM12,114,1142,3.673916425,8.129070448,1779.643194,8.467320565,39.54968658,0.867633421,20.20334241,19.97209726,18.66192663,9.759570413,6.637599828,33.275304,458.0412708
64,2015,EM12,105,1113,3.620540644,8.468634787,1851.203979,9.836867647,15.54547951,0.972856798,20.10962574,20.20296474,17.30081271,9.347582181,7.457281507,31.34315014,488.3705083
65,2017,EM12,141,1310,3.760989911,12.36980912,2150.922314,7.587182681,28.64452141,1.63822642,20.22016033,20.75285059,14.47899115,9.382410884,7.528118195,23.61453472,523.7878744
66,2011,EM13,203,1092,5.354501953,11.22502851,1643.387246,13.61558983,6.921910428,0.625306173,21.01266091,16.97449556,25.03592355,9.560188703,5.52445187,21.27561163,330.2727067
67,2013,EM13,242,1197,4.895900838,10.29221717,1946.180833,9.39029816,7.392436203,0.774026086,20.99589433,17.88397525,25.83267316,10.40152904,5.311941805,12.73345774,343.4087251
68,2014,EM13,263,1209,4.92455379,12.27836881,1988.718512,9.140376589,31.72162,1.384693011,20.82670004,18.23131652,25.13551725,9.92341675,5.39289802,13.34361159,367.2863485
69,2015,EM13,242,1217,4.738309093,14.78277239,2041.158914,11.68567901,19.33015999,1.510748678,20.72781428,18.41447775,23.27643482,8.590335493,5.473854236,11.91991927,350.2926639
70,2017,EM13,312,1366,4.901036382,23.06098857,1740.788379,9.164428176,27.58817323,2.735700509,20.6085821,18.7616333,27.42617239,8.803345827,5.848276731,16.19099622,380.156321
71,2011,EM14,595,2677,5.795200656,18.44008992,1959.192418,15.01978355,19.32982798,1.009873338,20.09649667,11.64881196,30.31438975,10.53700765,4.492260127,8.055611558,336.9238553
72,2012,EM14,548,2559,5.984349144,18.73502158,2211.112442,18.09315619,32.2851796,1.309010112,19.97204731,11.65751812,31.11113936,10.28099144,4.542857762,13.34361159,338.1875735
73,2013,EM14,638,2805,5.050709572,19.46514424,2227.852979,13.82102308,13.90301625,1.279587773,20.10051588,11.73146174,31.60910787,10.66521766,4.694650665,4.699765387,343.6415153
74,2014,EM14,648,2876,4.888040697,21.93778879,2201.510548,12.38775844,34.35120797,2.399341362,20.21280756,11.6883207,29.11926532,10.57506685,5.099431741,4.49638077,334.2966516
75,2015,EM14,701,2984,4.728464499,22.61413489,2465.867135,15.60285459,21.02495585,2.528471522,20.20651935,11.5909471,28.72089052,9.464081671,5.220866063,12.02161158,342.7103545
76,2011,EM15,20,147,4.252544367,4.098573608,1878.539686,13.42208909,11.9415454,0.639067965,20.89410212,21.01679083,17.66598961,8.770738084,8.185887443,28.08899628,406.6611481
77,2012,EM15,41,289,4.311662305,5.082685632,2118.736007,11.77197943,-3.655649842,0.456348078,20.58242586,22.04696272,20.15583216,8.75781613,8.793059056,24.73315011,426.2155249
78,2013,EM15,46,321,3.718661944,5.313755564,1931.647864,9.168518142,3.371989721,0.355910302,20.16344876,22.44749174,18.06436442,9.30154772,8.752580949,29.6143809,419.3315861
